datetime,cooking,drinking_water,electrical_appliances,service_water
2018-01-01 00:00:00,0.0,0.0,7351.924283333344,0.0
2018-01-01 01:00:00,0.0,0.0,20117.773600000022,0.0
2018-01-01 02:00:00,0.0,0.0,29822.78188333335,0.0
2018-01-01 03:00:00,0.0,0.0,37260.262216666684,0.0
2018-01-01 04:00:00,8.000583333333333,0.0,41011.621916666685,0.0
2018-01-01 05:00:00,102.0003,4645.833333333341,49323.55711666668,0.0
2018-01-01 06:00:00,70.00083333333333,4745.830333333341,58024.10175000001,0.0
2018-01-01 07:00:00,0.002,3579.1856666666704,56534.51196666668,6379.165000000004
2018-01-01 08:00:00,0.00031666666666666665,3862.5180000000037,56042.73545000002,11411.502333333345
2018-01-01 09:00:00,10127.744300000004,0.0,51597.74150000001,9707.638666666673
2018-01-01 10:00:00,148050.9512833333,4187.628000000004,54849.405200000016,0.0
2018-01-01 11:00:00,282360.8033166666,4154.288666666672,55601.06500000002,0.0
2018-01-01 12:00:00,129627.07064999995,3462.524000000006,56443.56625000002,0.0
2018-01-01 13:00:00,7604.461750000004,0.0,57737.74318333334,0.0
2018-01-01 14:00:00,0.0,0.0,67577.00343333335,10188.388000000004
2018-01-01 15:00:00,0.0,0.0,65855.33416666667,9607.59366666667
2018-01-01 16:00:00,6401.629383333336,50.118,52734.41376666668,10463.320000000003
2018-01-01 17:00:00,125516.57281666664,0.12,46702.75221666668,8115.335666666668
2018-01-01 18:00:00,291984.5839,12.600000000000009,50136.501100000016,0.0
2018-01-01 19:00:00,142978.43251666665,12.600000000000009,59251.92821666669,0.0
2018-01-01 20:00:00,9890.532500000003,12.600000000000009,68684.83188333335,0.0
2018-01-01 21:00:00,0.0,12.600000000000009,70902.48485000001,0.0
2018-01-01 22:00:00,0.0,12.600000000000009,60833.927216666685,0.0
2018-01-01 23:00:00,0.0,0.0,23802.520833333347,0.0
2018-01-02 00:00:00,0.0,0.0,10108.591983333346,0.0
2018-01-02 01:00:00,0.0,0.0,28222.762066666684,0.0
2018-01-02 02:00:00,0.0,0.0,38351.928500000016,0.0
2018-01-02 03:00:00,0.0,0.0,43890.25153333335,0.0
2018-01-02 04:00:00,19.000466666666668,0.0,49793.269116666685,0.0
2018-01-02 05:00:00,60.001,4412.508000000005,56268.21458333334,0.0
2018-01-02 06:00:00,45.00125,3679.185666666672,61034.020433333346,0.0
2018-01-02 07:00:00,56.00106666666667,4279.170666666671,57262.933433333346,7668.017666666667
2018-01-02 08:00:00,0.0006333333333333333,5379.155666666675,53951.909983333346,9153.624000000003
2018-01-02 09:00:00,8026.897450000004,0.0,56321.90638333335,9341.905333333338
2018-01-02 10:00:00,133320.45724999998,4087.6280000000047,53451.07223333335,0.0
2018-01-02 11:00:00,294620.1635833334,3062.6450000000036,50916.912700000015,0.0
2018-01-02 12:00:00,133385.9849833333,3762.5140000000056,54057.742383333345,0.0
2018-01-02 13:00:00,6925.841750000002,0.0,54728.57138333335,0.0
2018-01-02 14:00:00,0.0,0.0,59760.34108333336,6734.579333333334
2018-01-02 15:00:00,0.0,0.0,61032.00281666669,13097.987000000014
2018-01-02 16:00:00,8339.62736666667,0.12,51281.080216666676,10142.534666666677
2018-01-02 17:00:00,135767.50009999998,25.119,47164.414966666685,9454.351333333336
2018-01-02 18:00:00,293874.59701666667,12.600000000000009,46225.09261666668,0.0
2018-01-02 19:00:00,130614.24178333329,12.600000000000009,62487.09796666669,0.0
2018-01-02 20:00:00,8832.580583333338,12.600000000000009,70149.99563333337,0.0
2018-01-02 21:00:00,0.0,12.600000000000009,66296.33401666669,0.0
2018-01-02 22:00:00,0.0,12.600000000000009,56446.93421666669,0.0
2018-01-02 23:00:00,0.0,0.0,21252.512483333347,0.0
2018-01-03 00:00:00,0.0,0.0,8740.259000000011,0.0
2018-01-03 01:00:00,0.0,0.0,26888.59310000002,0.0
2018-01-03 02:00:00,0.0,0.0,34896.93681666668,0.0
2018-01-03 03:00:00,0.0,0.0,46646.91943333335,0.0
2018-01-03 04:00:00,0.00035,0.0,51263.18510000002,0.0
2018-01-03 05:00:00,48.00086666666667,3512.521000000006,58177.44315000001,0.0
2018-01-03 06:00:00,111.00015,3662.515000000004,60154.5114,0.0
2018-01-03 07:00:00,21.000783333333334,4379.172666666673,56541.42883333334,5751.594000000001
2018-01-03 08:00:00,0.0,3762.510000000004,53950.23303333335,10259.068333333336
2018-01-03 09:00:00,6910.344750000004,0.0,56563.56663333335,10435.226666666676
