,annual_kwh,daily_avg_kwh,number_of_days,num_clients,per_client_daily_kwh,nominal_per_client_kwh,ratio_modelled_over_nominal,pct_below_nominal
high_income_hh,76566.36627258346,209.77086650022866,365.0,,,,,
medium_income_hh,3866.1599506833327,10.592219042968035,365.0,,,,,
low_income_hh,545.1620381,1.4935946249315069,365.0,,,,,
industries,148165.3829999333,405.93255616420083,365.0,50.0,8.118651123284018,9.79,0.8292799921638425,17.07200078361575
services,198972.40079556667,545.1298651933333,365.0,88.0,6.194657559015152,7.7,0.8045009816902794,19.54990183097206
community_livestock,0.0,0.0,,,,,,
